Arrive Veendam,2013-08-24 07:00:00,2013-08-24 08:00:00,Boston/Montreal/BOS,Main Berth 8/9
Arrive Norwegian Dawn,2013-08-30 07:00:00,2013-08-30 08:00:00,Boston/Bermuda/Boston,Main Berth 8/9
Arrive Maasdam,2013-08-31 07:00:00,2013-08-31 08:00:00,Boston/Montreal/BOS,Main Berth 8/9
Arrive Explorer of the Seas,2013-09-02 08:00:00,2013-09-02 09:00:00,,Main Berth 8/9
Arrive Norwegian Dawn,2013-09-06 07:00:00,2013-09-06 08:00:00,Boston/Bermuda/Boston,Main Berth 8/9
Arrive Veendam,2013-09-07 07:00:00,2013-09-07 08:00:00,Boston/Montreal/BOS,Main Berth 8/9
Arrive Carnival Glory,2013-09-09 08:00:00,2013-09-09 09:00:00,,Main Berth 8/9
Arrive Queen Mary 2,2013-09-12 09:30:00,2013-09-12 10:30:00,,Main Berth 8/9
Arrive Norwegian Dawn,2013-09-13 07:00:00,2013-09-13 08:00:00,Boston/Quebec City/BOS,Main Berth 8/9
Arrive Aurora,2013-09-13 10:00:00,2013-09-13 11:00:00,,Ware Berth 6/7
Arrive Maasdam,2013-09-14 07:00:00,2013-09-14 08:00:00,Boston/Montreal/BOS,Main Berth 8/9
Arrive Eurodam,2013-09-14 08:00:00,2013-09-14 09:00:00,,Ware Berth 6/7
Arrive Brilliance of the Seas,2013-09-15 06:00:00,2013-09-15 07:00:00,Harwich-Iceland-Boston,Main Berth 8/9
Arrive Carnival Glory,2013-09-16 08:00:00,2013-09-16 09:00:00,,88BF 4/5
Arrive Crystal Symphony,2013-09-16 08:00:00,2013-09-16 09:00:00,Debark/Embark & Overnight,Main Berth 8/9
Arrive Caribbean Princess,2013-09-16 10:00:00,2013-09-16 11:00:00,,Ware Berth 6/7
Arrive Norwegian Gem,2013-09-19 08:00:00,2013-09-19 09:00:00,,Main Berth 8/9
Arrive Veendam,2013-09-21 07:00:00,2013-09-21 08:00:00,Boston/Montreal/BOS,Main Berth 8/9
Arrive Brilliance of the Seas,2013-09-22 06:00:00,2013-09-22 07:00:00,Bos/Hal/SJ/Maine/Boston,Main Berth 8/9
Arrive Carnival Glory,2013-09-22 14:00:00,2013-09-22 15:00:00,,Ware Berth 6/7
Arrive Celebrity Summit,2013-09-23 07:00:00,2013-09-23 08:00:00,,Main Berth 8/9
Arrive Caribbean Princess,2013-09-23 10:00:00,2013-09-23 11:00:00,,Ware Berth 6/7
Arrive Seven Seas Navigator,2013-09-25 08:00:00,2013-09-25 09:00:00,,Main Berth 8/9
Arrive Norwegian Gem,2013-09-26 08:00:00,2013-09-26 09:00:00,,Main Berth 8/9
Arrive Aidabella,2013-09-26 08:00:00,2013-09-26 09:00:00,,Ware Berth 6/7
Arrive Norwegian Dawn,2013-09-27 07:00:00,2013-09-27 08:00:00,Boston/Quebec City/BOS,Main Berth 8/9
Arrive Maasdam,2013-09-28 07:00:00,2013-09-28 08:00:00,Boston/Montreal/BOS,Main Berth 8/9
Arrive Emerald Princess,2013-09-28 10:00:00,2013-09-28 11:00:00,,Ware Berth 6/7
Arrive Brilliance of the Seas,2013-09-29 06:00:00,2013-09-29 07:00:00,Bos/Hal/SJ/Maine/Boston,Main Berth 8/9
Arrive Eurodam,2013-09-29 07:00:00,2013-09-29 08:00:00,,88 BF 4/5
