,,2013 CRUISE SCHEDULE as of:,,2/10/2013,,,,,,,,,,,
,Day,Date,Vessel,Type,Duration,Remarks,ETA,ETD,Berth,Pass. Capacity,LOA,Agency,Cruise Line,voyage,
39,Fri,08/02/13,Norwegian Dawn,Turn,7 Day,Boston/Bermuda/Boston,7:00,16:00,Main Berth 8/9,2224,958,Moran,NCL,14130802,
40,Sat,08/03/13,Maasdam,Turn,14 Day,Boston/Montreal/BOS,7:00,17:00,Main Berth 8/9,1258,719,Moran,Holland,765,
41,Fri,08/09/13,Norwegian Dawn,Turn,7 Day,Boston/Bermuda/Boston,7:00,16:00,Main Berth 8/9,2224,958,Moran,NCL,14130809,
42,Fri,08/16/13,Norwegian Dawn,Turn,7 Day,Boston/Bermuda/Boston,7:00,16:00,Main Berth 8/9,2224,958,Moran,NCL,14130816,
43,Sat,08/17/13,Veendam,Turn,14 Day,Boston/Montreal/BOS,7:00,17:00,Main Berth 8/9,1258,719,Moran,Holland,764,
44,Sat,08/17/13,Maasdam,Turn,14 Day,Boston/Montreal/BOS,7:00,17:00,Ware Berth 6/7,1258,719,Moran,Holland,767,
45,Fri,08/23/13,Norwegian Dawn,Turn,7 Day,Boston/Bermuda/Boston,7:00,16:00,Main Berth 8/9,2224,958,Moran,NCL,14130823,
46,Sat,08/24/13,Veendam,Turn,14 Day,Boston/Montreal/BOS,7:00,17:00,Main Berth 8/9,1258,719,Moran,Holland,766,
47,Fri,08/30/13,Norwegian Dawn,Turn,7 Day,Boston/Bermuda/Boston,7:00,16:00,Main Berth 8/9,2224,958,Moran,NCL,14130830,
48,Sat,08/31/13,Maasdam,Turn,14 Day,Boston/Montreal/BOS,7:00,17:00,Main Berth 8/9,1258,719,Moran,Holland,769,
49,Mon,09/02/13,Explorer of the Seas,POC,1 Day,,8:00,18:00,Main Berth 8/9,3114,1020,Intercruises,Royal Caribbean,19626,
50,Fri,09/06/13,Norwegian Dawn,Turn,7 Day,Boston/Bermuda/Boston,7:00,16:00,Main Berth 8/9,2224,958,Moran,NCL,14130906,
51,Sat,09/07/13,Veendam,Turn,14 Day,Boston/Montreal/BOS,7:00,17:00,Main Berth 8/9,1258,719,Moran,Holland,777,
52,Mon,09/09/13,Carnival Glory,POC,1 Day,,8:00,17:00,Main Berth 8/9,2974,952,Intercruises,Carnival,glo7090713,
53,Thu,09/12/13,Queen Mary 2,POC,1 Day,,9:30,20:00,Main Berth 8/9,2620,1228,Goff and Page,carnival UK,M321,
54,Fri,09/13/13,Norwegian Dawn,Turn,14 Day,Boston/Quebec City/BOS,7:00,17:00,Main Berth 8/9,2224,958,Moran,NCL,14130913,
55,Fri,09/13/13,Aurora,POC,1 Day,,10:00,23:59,Ware Berth 6/7,1874,885.8,Moran,P&O Cruises,R315,
56,Sat,09/14/13,Maasdam,Turn,14 Day,Boston/Montreal/BOS,7:00,17:00,Main Berth 8/9,1258,719,Moran,Holland,771,
57,Sat,09/14/13,Eurodam,POC,1 Day,,8:00,17:00,Ware Berth 6/7,1258,719,Moran,Holland,225,
58,Sun,09/15/13,Brilliance of the Seas,Turn,7 Day,Harwich-Iceland-Boston,6:00,17:00,Main Berth 8/9,2501,962.7,Intercruises,Royal Caribbean,22419,
59,Mon,09/16/13,Carnival Glory,POC,1 Day,,8:00,17:00,88BF 4/5,2974,952,Intercruises,Carnival,glo7091413,
60,Mon,09/16/13,Crystal Symphony,Turn,2 Day,Debark/Embark & Overnight,8:00,RON,Main Berth 8/9,778,940,Moran,Crystal Cruises,3222/3223,
61,Mon,09/16/13,Caribbean Princess,POC,1 Day,,10:00,19:00,Ware Berth 6/7,3100,951,Goff and Page,Princess,CB1329,
,Tue,09/17/13,Crystal Symphony,,,,RON,17:00,Main Berth 8/9,778,940,Moran,Crystal Cruises,,
62,Thu,09/19/13,Norwegian Gem,POC,1 Day,,8:00,18:00,Main Berth 8/9,2394,965,Moran,NCL,27130914,
63,Sat,09/21/13,Veendam,Turn,14 Day,Boston/Montreal/BOS,7:00,17:00,Main Berth 8/9,1258,719,Moran,Holland,,
